epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.887,3.08707,4.58716,4.24622,0.00114,1,0.01759,0.00432,2.85979,5.85621,4.15785,0.00016,0.00016,0.00016
2,214.795,3.24297,4.97523,4.21056,0.00114,1,0.02076,0.00477,2.86899,5.84642,4.14736,0.000333268,0.000333268,0.000333268
3,327.788,3.04219,4.43874,4.15892,0.00114,1,0.00569,0.00163,2.8578,5.78176,4.12391,0.000499408,0.000499408,0.000499408
4,443.169,3.0324,4.26646,4.13814,0.00114,1,0.00483,0.00153,2.80649,5.55564,4.10489,0.00065842,0.00065842,0.00065842
5,559.174,2.97076,4.02306,4.1155,0.00114,1,0.00508,0.00153,2.81634,4.63158,4.04045,0.000810304,0.000810304,0.000810304
6,671.975,2.97356,4.17618,4.08449,0.00114,1,0.37735,0.07975,2.64456,5.60306,3.77025,0.00095506,0.00095506,0.00095506
7,810.2,3.03833,3.91814,4.03578,0.00105,0.92308,0.08768,0.0159,2.88945,5.29823,4.7078,0.00109269,0.00109269,0.00109269
8,973.473,2.95751,4.27789,3.97743,0.00091,0.69231,0.00083,0.00026,3.02596,5.81281,19.4121,0.00122319,0.00122319,0.00122319
9,1092.78,2.9483,3.81477,3.98069,0.01672,0.84615,0.05391,0.01085,3.09109,5.26133,16.2955,0.00134656,0.00134656,0.00134656
10,1209.43,3.11496,3.85828,3.94648,0.03543,0.69231,0.05238,0.01228,3.47329,5.55882,30.942,0.0014628,0.0014628,0.0014628
11,1323.22,2.63634,3.7473,3.78018,0.01035,1,0.12015,0.03335,3.50095,3.6302,27.3007,0.00157192,0.00157192,0.00157192
12,1436.39,2.9353,4.07771,3.68544,0.09973,0.53846,0.10651,0.05365,2.38221,5.34377,6.96113,0.0015644,0.0015644,0.0015644
13,1547.82,2.88647,3.62571,3.72371,0.00201,0.92308,0.01161,0.00241,3.30591,5.64308,7.00078,0.0015248,0.0015248,0.0015248
14,1657.71,3.03787,3.74331,3.64595,0.011,0.53846,0.01212,0.00321,2.91781,7.35618,7.43169,0.0014852,0.0014852,0.0014852
15,1767.62,2.85588,3.67294,3.56906,0.00887,0.46154,0.04525,0.00753,2.843,8.09143,5.62569,0.0014456,0.0014456,0.0014456
16,1878.11,2.85196,3.73892,3.66993,0.02826,0.76923,0.20897,0.06244,2.55765,5.05217,3.77852,0.001406,0.001406,0.001406
17,1991.22,2.7926,3.84625,3.5817,0.00174,1,0.01244,0.00339,2.92243,4.99938,4.17502,0.0013664,0.0013664,0.0013664
18,2112.56,2.83264,3.59106,3.59642,0.01663,0.53846,0.11838,0.05093,2.94416,5.35454,4.01958,0.0013268,0.0013268,0.0013268
19,2223.12,2.77074,3.58779,3.52956,0.01353,0.76923,0.05729,0.01253,2.71336,5.47134,4.12546,0.0012872,0.0012872,0.0012872
20,2345.65,2.84653,3.75147,3.44192,0.00823,0.23077,0.01368,0.00242,3.24012,5.05288,4.37756,0.0012476,0.0012476,0.0012476
21,2462.53,3.1359,3.80156,3.58909,0.00701,0.15385,0.04315,0.00505,3.20746,5.2457,4.31466,0.001208,0.001208,0.001208
22,2593.34,2.69388,3.41672,3.3863,0.00692,0.15385,0.02538,0.0031,3.1336,4.88405,4.13432,0.0011684,0.0011684,0.0011684
23,2709.06,2.88356,3.73139,3.46959,0.0163,0.61538,0.06215,0.01471,3.21954,4.46441,3.86215,0.0011288,0.0011288,0.0011288
24,2823.13,3.06614,3.66941,3.49974,0.0106,0.69231,0.13762,0.03769,3.24241,4.04129,3.87383,0.0010892,0.0010892,0.0010892
